"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 24 18:34:46 UTC 2022","Sat Sep 24 18:34:51 UTC 2022","4758","chromium","spec.ts","Test Cases","","","Check Slack link on the ""Wiki"" page",""
"passed","Sat Sep 24 18:34:55 UTC 2022","Sat Sep 24 18:34:59 UTC 2022","4187","chromium","spec.ts","Test Cases","","","Check search field",""
"passed","Sat Sep 24 18:34:35 UTC 2022","Sat Sep 24 18:34:41 UTC 2022","6281","chromium","spec.ts","Test Cases","","","Check registration page",""
"passed","Sat Sep 24 18:34:51 UTC 2022","Sat Sep 24 18:34:55 UTC 2022","4224","chromium","spec.ts","Test Cases","","","Сhecking the transition to a specific entry from the ""roadmap"" menu",""
"passed","Sat Sep 24 18:34:41 UTC 2022","Sat Sep 24 18:34:46 UTC 2022","5127","chromium","spec.ts","Test Cases","","","Check filters functional on the ""issues"" page",""
